title;brand;model;price;color;description_quality;comments_quality;review_rating;review_amount;seller;review_count;photo_count;confidence_rating;processed
cartucho de tinta hp 667 cor preto do 2 ml - r$ 74,95;hp;667;74.95;preto;boa;indiferentes;;;sc20240720171247;0.0;0.0;original;1
cartucho hp 667xl preto 8,5ml - r$ 120;hp;667;120.0;preto;boa;indiferentes;;0.0;clca20240301194651;0.0;0.0;original;1
cartucho hp 667 preto 2376 2776 6476 - r$ 66,9;hp;667;66.9;preto;boa;indiferentes;;0.0;vanmastercomercio;0.0;0.0;original;1
cartucho de tinta hp 667 cor preto do 2 ml;hp;667;64.69;preto;boa;indiferentes;;0.0;eshop;0.0;0.0;original;1
kit cartucho hp 667 667xl deskjet 2776 preto e color full;hp;667;314.0;preto e colorido;boa;indiferentes;;0.0;park ecom;0.0;0.0;original;1
kit cartucho tinta original hp 667 preto/colorido 2376 2774;hp;667;154.9;preto/colorido;boa;satisfeitos;;0.0;obero informatica;0.0;0.0;original;1
cartucho hp 667 667xl deskjet 2776 preto;hp;667;129.9;preto;boa;indiferentes;;;tc20240813115050;0.0;0.0;original;1
kit cartucho hp 664 preto e hp 664 colorido;hp;664;146.82;preto e colorido;boa;indiferentes;;0.0;eshop;0.0;0.0;original;1
cartucho de tinta hp 667 cor preto colorido do 2 ml;hp;667;151.9;preto, colorido;boa;indiferentes;;0.0;scotch;0.0;0.0;original;1
combo cartucho hp 667 preto 667 colorido original;hp;667;189.99;preto, colorido;boa;indiferentes;;;siad8238404;0.0;0.0;original;1
kit cartucho 667 preto color original hp 2376 2775 2776 6476;hp;667;175.12;preto e colorido;boa;indiferentes;;;primer print;0.0;0.0;original;1
kit cartucho hp 667 preto e colorido original a4 brinde;hp;667;173.35;preto e colorido;boa;indiferentes;;;informticapontonet;0.0;0.0;original;1
kit cartuchos tinta hp 667 preto + hp 667 color menor preço;hp;667;147.99;preto, colorido;boa;satisfeitos;;100.0;vanmastercomercio;50.0;3.0;original;1
kit com 2 cartuchos hp 667 preto 2ml - 3ym79ab;hp;667;154.9;preto;boa;indiferentes;;0.0;mm santos;0.0;0.0;suspeito;1
cartucho tinta tricolor 667 hp - r$ 78;hp;667;78.0;colorido;boa;indiferentes;;0.0;park ecom;0.0;0.0;original;1
cartucho de tinta hp 667 cor preto do 2 ml;hp;667;74.95;preto;boa;indiferentes;;0.0;sc20240720171247;0.0;0.0;original;1
cartucho de tinta hp 667 deskjet ink advantage cor preto e colorido do 4 ml 2 unidades - r$ 148;hp;667;148.0;preto e colorido;boa;indiferentes;;0.0;oberodistribuidora;0.0;0.0;original;1
cartucho de tinta hp 667 kit preto e colorido;hp;667;159.0;preto e colorido;boa;indiferentes;;;comercial h10;0.0;0.0;original;1
kit 2 cartuchos tinta preta hp 667 original 1275 2374 2375;hp;667;179.2;preto;boa;indiferentes;;0.0;saraiva comercio;0.0;0.0;original;1
kit cartucho hp 667 667xl deskjet 2776 preto e color;hp;667;302.68;preto, tricolor;boa;indiferentes;;0.0;ondda digital;0.0;0.0;original;1
cartucho tinta tricolor 667xl hp;hp;667;130.58;colorido;boa;indiferentes;;;tecno ekn;;;original;1
kit cartuchos hp 667 preto color 2374 a 2376 2775 2776 6475  - r$ 179,2;hp;667;179.2;preto, colorido;boa;satisfeitos;;0.0;saraiva comercio;0.0;0.0;original;1
kit 2 cartucho hp 667 667xl deskjet 2776 preto;hp;667;193.9;preto;boa;indiferentes;0.0;0.0;park ecom;0.0;0.0;original;1
2x cartucho tinta preto original hp 667 2376 2774 6476;hp;667;147.99;preto;boa;indiferentes;;0.0;obero informatica;0.0;0.0;original;1
cartucho hp 667 xl black original - r$ 143,91;hp;667;143.91;preto;boa;indiferentes;;0.0;tecno ekn;0.0;0.0;original;1
cartucho hp 667xl preto 8,5ml - r$ 120;hp;667;120.0;preto;boa;indiferentes;;0.0;clca20240301194651;0.0;0.0;original;1
kit 2 cartucho hp 667 preto 3ym79al 2776 2376 6476;hp;667;178.89;preto;boa;satisfeitos;;0.0;viit;0.0;0.0;original;1
cartucho de tinta preta hp 667xl;hp;667;121.41;preto;boa;indiferentes;;0.0;lmplus;0.0;0.0;original;1
kit cartucho tinta original hp 667 preto/colorido 2376 2774;hp;667;167.1;preto, colorido;boa;satisfeitos;;0.0;park ecom;0.0;0.0;original;1
kit cartucho hp 667 preto + 667 colorido original 2376 2774 - r$ 169,9;hp;667;169.9;preto, colorido;boa;indiferentes;;0.0;park ecom;0.0;0.0;original;1
